timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:46:03.178,-60,-58,-65,-62,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.180,-62,-57,-57,-60,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.181,-67,-57,-60,-76,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.182,-62,-57,-60,-58,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.183,-59,-55,-60,-65,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.184,-67,-56,-72,-66,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.185,-71,-62,-57,-53,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.186,-67,-62,-64,-62,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.187,-76,-53,-64,-58,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.188,-70,-64,-55,-63,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.189,-54,-63,-74,-70,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.190,-71,-62,-68,-62,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.191,-63,-66,-56,-56,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.192,-74,-67,-56,-65,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.193,-56,-62,-54,-73,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.194,-72,-58,-58,-63,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.195,-66,-59,-62,-66,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.424,,-60,-60,-73,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.624,,-58,-60,-70,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:03.824,,,-66,-71,02-Near-Facing-Out,EXP_001
2026-03-08 12:46:04.079,-69,,-66,-69,02-Near-Facing-Out,EXP_001
