timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:48:15.781,-59,-54,-55,-66,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:15.783,-59,-54,-59,-58,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:16.182,-69,,-55,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:16.381,,-54,,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:16.578,-70,,-59,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:16.775,,,,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:16.977,-71,-54,,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:17.240,-73,-59,-56,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:17.467,-59,-54,-60,-60,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:17.680,-74,-73,-58,-62,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:17.899,-69,-59,-57,-72,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:18.118,-61,-55,-62,-61,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:18.323,,,,-72,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:18.524,-62,-55,-59,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:18.922,-71,-59,-57,-62,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:19.334,-68,-75,-57,-76,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:19.763,-61,-54,-62,-61,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:20.165,-69,-54,-58,-62,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:20.394,-60,-54,-61,-61,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:20.596,,-58,-58,-74,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:27.041,,-74,-62,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:27.454,-80,-67,-71,-72,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:27.708,,-68,-66,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:27.709,-71,-68,,-65,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:27.940,-78,-68,-65,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:28.142,-73,-68,-64,-65,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:28.349,-75,-65,-66,-63,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:28.587,-71,,-68,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:28.787,,-65,-64,-65,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:28.985,-70,,,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:29.199,,-72,,-72,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:29.402,-74,,-62,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:29.622,,-67,-68,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:29.852,,,,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:30.069,-71,-66,-63,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:30.480,,-72,-62,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:30.682,-70,-66,-71,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:30.885,,-67,-61,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:31.088,-74,-67,-61,-66,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:31.288,-73,-72,-61,-66,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:31.503,-70,-67,-73,-63,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:31.727,-70,-66,-63,-71,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:31.728,-73,,,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:37.325,-67,-64,-66,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:37.715,-65,-71,,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:38.205,-56,-70,-65,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:38.421,-68,,-66,-66,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:38.629,,-63,,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:39.029,,-71,,-65,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:39.234,-56,,-66,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:39.450,,-69,,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:39.681,-67,,,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:39.884,,-63,-66,-63,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:40.127,-56,-70,-65,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:40.361,-56,-71,-65,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:40.574,-68,-63,-66,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:40.781,-68,-70,-66,-68,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:40.989,-65,-64,-66,-61,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:41.193,-56,-70,-64,-71,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:41.394,-67,-63,-79,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:41.606,-57,-63,-64,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:41.810,-64,-71,,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:42.012,-57,-72,-64,-68,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:46.933,-65,-61,-64,-77,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:47.341,-59,-57,-60,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:47.735,-66,-65,-61,-62,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:47.969,,-62,-66,-67,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:48.184,-64,-66,-66,-68,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:48.427,-63,-57,-59,-64,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:48.653,-67,-57,-69,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:48.884,-60,-57,-59,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.095,-58,-67,-64,-63,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.306,-58,-69,-70,-70,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.307,-58,,-62,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.509,-58,-68,-69,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.721,-57,-57,-59,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:49.924,,-58,-58,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:50.123,,,-58,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:50.124,-58,-57,,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:50.543,-56,-57,-69,-69,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:51.000,-58,-67,,-68,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:51.001,,,-62,,02-Far-Facing-Out,EXP_001
2026-03-08 12:48:51.411,-57,-61,-69,-67,02-Far-Facing-Out,EXP_001
