timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:39:42.064,-70,-57,-71,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:42.443,,-60,-57,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:42.638,-69,,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:43.020,,-57,-69,-42,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:43.407,,-59,-62,-34,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:43.803,,,-55,-38,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.010,,-60,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.221,,,-57,-33,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.222,,-61,-55,-40,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.447,,-58,-56,-39,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.646,-61,-68,-57,-39,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:44.849,,-62,-57,-40,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:45.045,-66,-57,-64,-38,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:45.245,-63,-59,-56,-41,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:45.435,-60,,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:45.628,-64,,-61,-38,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:45.821,,-60,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:46.033,-62,,-55,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:46.236,,-61,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:46.441,-60,,-62,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:46.635,,-58,,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
2026-03-08 12:39:46.834,-64,,-55,,03-Near-Facing-In,EXP_001,03-Near-Facing-In-S
