timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:42:32.826,,-70,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:32.827,,,-58,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:33.212,,,-60,-55,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:33.403,-74,-69,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:33.606,,-66,,-54,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:33.815,-74,,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.010,,,,-54,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.212,-68,-68,-58,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.421,,-66,-67,-53,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.616,,,-57,-54,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.617,,-71,-59,-52,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:34.812,,-67,-57,-54,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:35.008,,-67,-64,-52,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:35.409,,-67,-64,-52,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:35.797,,-71,-57,-50,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.010,-71,,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.209,,-67,-67,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.407,,,,-52,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.607,,-69,-60,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.801,,-67,-66,-50,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:36.996,,-67,-65,-50,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:37.207,,-66,-58,-55,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:37.403,-75,-69,-60,-52,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
2026-03-08 12:42:37.599,-69,-66,-59,-50,02-Far-Facing-In,EXP_001,02-Far-Facing-In-W
