timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:42:01.329,-55,-66,-64,-56,02-Far-Facing-In,EXP_001
2026-03-08 12:42:01.330,-66,-68,-61,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:01.530,-57,-69,-62,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:01.723,-55,-64,-80,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:01.916,-57,-69,-62,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:02.119,,-71,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:02.309,-65,,-62,-56,02-Far-Facing-In,EXP_001
2026-03-08 12:42:02.502,,-64,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:02.694,-56,,-62,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:02.886,,-70,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:03.104,,-71,-62,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:03.306,-54,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:03.691,-66,-71,-61,-57,02-Far-Facing-In,EXP_001
2026-03-08 12:42:03.884,-57,-67,-62,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:04.079,-54,-65,-76,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:04.276,-57,-72,-62,-57,02-Far-Facing-In,EXP_001
2026-03-08 12:42:04.469,-57,-73,-60,-53,02-Far-Facing-In,EXP_001
2026-03-08 12:42:04.666,-57,,,-50,02-Far-Facing-In,EXP_001
2026-03-08 12:42:04.859,-68,-72,-61,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:05.066,-66,-62,-74,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:05.280,,-72,,-49,02-Far-Facing-In,EXP_001
2026-03-08 12:42:05.281,-66,-72,-64,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:05.690,-67,-71,-68,-57,02-Far-Facing-In,EXP_001
2026-03-08 12:42:06.137,-54,-68,-62,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:11.674,-62,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:11.866,-59,-57,-56,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:12.057,-64,-56,-57,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:12.259,-70,-60,-54,-48,02-Far-Facing-In,EXP_001
2026-03-08 12:42:12.463,-59,-55,-55,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:12.662,-63,-60,-57,-48,02-Far-Facing-In,EXP_001
2026-03-08 12:42:12.874,-62,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:13.072,-66,-55,-56,-48,02-Far-Facing-In,EXP_001
2026-03-08 12:42:13.460,-59,-56,-55,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:13.655,,,-56,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:13.656,-58,-55,,-71,02-Far-Facing-In,EXP_001
2026-03-08 12:42:13.858,-61,-60,-55,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:14.057,-66,-55,-56,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:14.276,-59,-60,-56,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:14.477,-61,-55,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:14.676,,,-55,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:15.082,,-55,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:15.288,-60,,-55,-51,02-Far-Facing-In,EXP_001
2026-03-08 12:42:15.862,-61,-61,-56,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:23.027,,-65,,-42,02-Far-Facing-In,EXP_001
2026-03-08 12:42:23.221,-63,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:23.424,,,-56,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:23.804,-74,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:23.998,,,-59,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:24.192,-60,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:24.399,,,-57,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:24.603,,,-64,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:24.801,-62,-64,,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:25.185,-70,-60,-57,-44,02-Far-Facing-In,EXP_001
2026-03-08 12:42:25.387,-68,,,-44,02-Far-Facing-In,EXP_001
2026-03-08 12:42:25.582,-71,,-63,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:25.777,,,-55,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:25.971,,,-56,-42,02-Far-Facing-In,EXP_001
2026-03-08 12:42:26.175,,,-58,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:26.368,,,-58,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:26.576,,,-56,-45,02-Far-Facing-In,EXP_001
2026-03-08 12:42:26.824,-67,,-56,-45,02-Far-Facing-In,EXP_001
2026-03-08 12:42:27.055,,-64,-62,-42,02-Far-Facing-In,EXP_001
2026-03-08 12:42:27.258,-72,-64,-56,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:27.666,-68,,,-43,02-Far-Facing-In,EXP_001
2026-03-08 12:42:27.668,,-64,-58,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:32.826,,-70,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:32.827,,,-58,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:33.212,,,-60,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:33.403,-74,-69,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:33.606,,-66,,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:33.815,-74,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.010,,,,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.212,-68,-68,-58,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.421,,-66,-67,-53,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.616,,,-57,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.617,,-71,-59,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:34.812,,-67,-57,-54,02-Far-Facing-In,EXP_001
2026-03-08 12:42:35.008,,-67,-64,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:35.409,,-67,-64,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:35.797,,-71,-57,-50,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.010,-71,,,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.209,,-67,-67,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.407,,,,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.607,,-69,-60,,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.801,,-67,-66,-50,02-Far-Facing-In,EXP_001
2026-03-08 12:42:36.996,,-67,-65,-50,02-Far-Facing-In,EXP_001
2026-03-08 12:42:37.207,,-66,-58,-55,02-Far-Facing-In,EXP_001
2026-03-08 12:42:37.403,-75,-69,-60,-52,02-Far-Facing-In,EXP_001
2026-03-08 12:42:37.599,-69,-66,-59,-50,02-Far-Facing-In,EXP_001
