timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:42:45.631,-55,-61,-65,-52,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:45.632,-55,-63,-62,-52,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:45.827,,,-69,-49,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:46.219,-53,-62,-65,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:46.409,,,,-53,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:46.602,-53,-68,-70,-53,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:46.983,-55,,,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:47.170,,-62,-60,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:47.367,-53,,,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:47.560,,-68,,-49,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:47.763,,,-71,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:47.958,-55,-64,-65,-48,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:48.340,-72,-66,-66,-52,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:48.749,-55,-65,-68,-52,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:48.946,-71,-60,-59,-47,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:49.141,-73,-61,-59,-48,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:49.332,-51,-63,-74,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:49.522,-55,-67,-70,-53,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:49.718,-51,-64,-65,-53,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:49.910,-74,-65,-64,-47,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
2026-03-08 12:42:50.116,-73,-60,-59,-47,03-Far-Facing-In,EXP_001,03-Far-Facing-In-N
