timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:43:08.434,-62,-65,-72,-44,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:09.004,-68,-67,-59,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:09.199,-71,,,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:09.395,,-64,-68,-42,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:09.591,-72,,,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:09.785,,-69,-58,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:10.007,-71,-62,-59,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:10.202,-67,-68,-60,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:10.407,-73,-62,-67,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:10.604,-68,-61,-60,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:10.995,-68,-72,-58,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:11.187,-72,-73,-65,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:11.383,-60,-64,,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:11.582,-70,,,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:11.773,,-64,,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:11.968,-69,,,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:12.164,-72,,,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:12.367,-74,,,-46,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:12.784,-69,,,-44,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:12.982,,,-58,,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
2026-03-08 12:43:13.178,-70,,,-45,03-Far-Facing-In,EXP_001,03-Far-Facing-In-S
