timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:44:18.351,-56,,-60,-59,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:18.558,,-72,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:18.753,-55,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:18.949,,-59,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:19.142,-60,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:19.338,-67,-57,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:19.532,-66,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:19.765,-55,-67,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:19.967,-55,-68,-69,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:20.172,-60,-58,-59,-65,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:20.368,-59,-69,-59,-60,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:20.575,-67,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:20.576,,-58,-59,-67,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:21.152,-60,-59,-60,-64,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:21.730,-55,-66,-68,-62,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:22.118,,-59,,-62,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:22.119,-59,,-59,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:22.695,,-56,-55,-63,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:22.890,-66,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:23.086,-55,-67,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
2026-03-08 12:44:23.278,-59,-56,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-W
