timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 13:15:19.960,-43,-58,-68,-65,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.962,-59,-67,-71,-49,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.963,-65,-68,-66,-65,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.964,-54,-50,-51,-60,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.965,-75,-62,-70,-38,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.967,-67,-68,-69,-37,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.968,-59,-68,-69,-41,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.969,-65,-65,-69,-34,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.970,-69,-65,-70,-39,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.971,-71,-70,-72,-40,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:19.972,-67,-68,-69,-37,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:20.212,-62,-66,-68,-38,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:20.817,-69,-62,-67,-74,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:21.022,,,,-45,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:21.024,-59,-64,-62,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:21.425,,,,-39,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:21.426,-64,-68,-70,-44,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:21.711,-61,-69,-74,-40,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.155,-65,-65,-62,-44,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.157,-64,-68,-69,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.360,,,,-49,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.361,-61,,-63,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.782,-72,-62,-67,-62,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:22.986,-69,,,-58,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:23.481,,,-70,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:23.716,,-68,-66,-57,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:24.337,,-67,-73,-59,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:24.777,,,-54,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:24.779,,-49,,-57,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:24.979,,-74,-48,-58,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:25.241,,-69,,-58,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:25.463,-59,-65,-52,-64,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:25.692,-65,-58,-51,-60,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:26.105,-64,-58,-48,-59,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:26.309,-67,-67,,-59,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:26.948,,,-44,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:27.170,,,,-65,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:27.171,-73,,,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:27.589,-63,-63,-40,-68,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:28.384,-66,,-42,-64,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:28.770,,-55,,-67,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:29.025,-64,-56,-40,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:29.394,,,,-73,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:29.632,-62,-76,-38,-61,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:29.856,,-60,,,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:30.895,-68,-63,-48,-66,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:31.624,,,-57,-71,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:31.824,-75,-66,-68,-64,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:32.220,-67,-75,-60,-64,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:32.419,-72,-65,-52,-62,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:32.881,-53,-60,-47,-63,12_R4-R3-R4-R3,EXP_003
2026-03-08 13:15:33.114,-56,-51,-48,-58,12_R4-R3-R4-R3,EXP_003
