timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 15:12:06.009,-65,-68,-79,-59,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:06.209,,-67,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:06.603,-64,,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:06.805,,-73,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:07.015,-65,,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:07.415,,-66,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:07.416,-60,-82,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:07.618,-62,-66,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:07.826,-61,,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:08.038,-65,-66,-76,-72,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:08.274,-61,-69,-72,-70,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:08.478,-65,-66,-67,-58,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:08.688,-62,-66,-75,-49,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:08.886,-65,-67,-67,-70,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:09.492,,-68,,-49,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:09.690,,,-73,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:10.090,-62,,,-74,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:10.295,,-66,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:10.517,,,-72,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:10.721,-60,-65,,-51,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:10.942,,-66,-74,-59,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:11.144,-62,-68,-73,-50,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:11.346,-62,-65,-71,-59,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:11.553,-66,-69,-72,-50,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:11.754,-62,-66,-75,-75,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:11.958,-61,-76,-74,-51,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:12.162,-66,-67,-70,-59,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:12.377,-61,-74,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:12.576,,,-67,-50,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:12.777,-67,,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:13.191,-67,,-74,-50,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:13.601,-60,,-69,-60,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:14.418,-63,,-74,-76,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:14.621,,-67,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:14.842,,,-72,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:15.242,,-80,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:15.442,,,-70,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:15.641,,-72,,,10_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:15.856,,-65,-67,-61,10_in_Room4_Cornor3,EXP_004
