timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 15:20:45.796,-65,-63,-69,-54,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:45.797,-62,-69,-56,-59,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:46.409,-64,-67,-69,-58,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:46.864,-60,-64,-57,-60,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:47.279,-67,,-56,-65,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:47.693,,-65,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:47.892,-61,,-58,-55,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.095,,-64,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.296,-72,,-61,-66,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.525,-74,-74,-65,-58,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.740,-63,,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.741,,-64,,-61,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:48.948,-65,-64,-59,-66,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:49.156,-67,,,-67,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:49.157,,-62,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:49.365,-66,-64,-58,-69,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:49.569,-66,-75,-56,-69,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:49.795,,,,-56,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:50.001,-65,-76,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:50.203,-65,-76,-59,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:50.619,-65,-73,-58,-67,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:51.220,,-66,,-70,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:51.449,-68,,-60,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:51.653,-65,-64,-60,-67,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:52.256,-65,-62,-65,-57,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:52.657,-66,-61,-65,-56,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:52.867,-65,-68,-59,-67,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.097,,-71,,,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.098,-73,-61,-62,-57,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.302,-66,-74,-62,-68,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.518,-65,-63,-77,-56,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.722,-64,-61,-67,-60,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:53.925,-67,-71,-64,-66,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:54.160,-63,-60,-70,-56,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:54.363,-72,-65,-69,-56,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:54.567,-62,-60,-65,-63,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:54.777,-66,,-66,-69,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:54.987,-68,-60,,-57,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:55.423,-69,-60,-65,-69,05_Out_Room4_Cornor3,EXP_004
2026-03-08 15:20:55.639,-64,,,,05_Out_Room4_Cornor3,EXP_004
