time_based_rssi,label
"2026-03-08 15:20:28.993,-66,-57,-66,-63;2026-03-08 15:20:28.994,-73,-65,-73,-58;2026-03-08 15:20:29.194,-60,-60,-73,-52;2026-03-08 15:20:29.395,-59,-65,-65,-58;2026-03-08 15:20:29.596,-70,-67,-64,-53;2026-03-08 15:20:29.796,,-63,-68,-64;2026-03-08 15:20:30.022,-59,,-65,-64;2026-03-08 15:20:30.226,-67,,-65,-59;2026-03-08 15:20:30.426,,,-68,;2026-03-08 15:20:30.831,-60,,-69,-52;2026-03-08 15:20:31.444,-69,,-63,-52;2026-03-08 15:20:31.671,-61,,-65,-60;2026-03-08 15:20:32.272,-71,,-67,-57;2026-03-08 15:20:32.480,,-62,,;2026-03-08 15:20:32.683,-74,-59,-65,-62;2026-03-08 15:20:33.288,,-64,-69,-56;2026-03-08 15:20:33.516,-61,,,;2026-03-08 15:20:33.720,,-63,-68,-57;2026-03-08 15:20:33.926,-71,-64,-73,-56;2026-03-08 15:20:34.133,-71,-67,-68,-53;2026-03-08 15:20:34.349,-69,,-68,-66;2026-03-08 15:20:34.555,,-64,-63,-53;2026-03-08 15:20:34.780,,,-61,-62;2026-03-08 15:20:34.986,-59,,-70,-66;2026-03-08 15:20:35.193,,,-63,-62;2026-03-08 15:20:35.394,-59,,-73,-60;2026-03-08 15:20:36.003,,,,-67;2026-03-08 15:20:36.238,-66,,,;2026-03-08 15:20:36.451,-60,-66,,-67;2026-03-08 15:20:36.656,,,,-65;2026-03-08 15:20:37.077,-59,-63,-65,;2026-03-08 15:20:37.279,,,,-53;2026-03-08 15:20:37.508,-73,,,;2026-03-08 15:20:37.717,-59,-62,-69,-60;2026-03-08 15:20:37.922,-67,-71,-63,-54;2026-03-08 15:20:38.129,-75,-67,,-67;2026-03-08 15:20:38.332,-59,-60,-71,-61;2026-03-08 15:20:38.558,-59,,-68,;2026-03-08 15:20:38.762,-59,-64,-64,-53;2026-03-08 15:20:38.763,,-70,,",1
"2026-03-08 15:24:38.174,-67,-64,-71,-73;2026-03-08 15:24:38.374,-66,,,-60;2026-03-08 15:24:38.573,,-59,,;2026-03-08 15:24:38.972,-63,-65,-61,-65;2026-03-08 15:24:39.378,-63,-58,-70,-67;2026-03-08 15:24:39.582,-64,-58,-62,-65;2026-03-08 15:24:39.806,-60,-63,-70,-66;2026-03-08 15:24:40.019,,-66,-61,-74;2026-03-08 15:24:40.224,-62,,,-65;2026-03-08 15:24:40.426,-69,-65,-61,-71;2026-03-08 15:24:40.640,-61,-57,-61,-69;2026-03-08 15:24:40.843,-61,-64,-61,-65;2026-03-08 15:24:41.044,-71,-58,,;2026-03-08 15:24:41.282,,,-61,-65;2026-03-08 15:24:41.678,-70,-65,-62,-70;2026-03-08 15:24:42.088,-60,-66,-73,;2026-03-08 15:24:42.291,,,,-64;2026-03-08 15:24:42.691,,-58,-62,-65;2026-03-08 15:24:42.926,-61,,,;2026-03-08 15:24:43.329,-69,-64,-62,-65;2026-03-08 15:24:43.548,-61,,,;2026-03-08 15:24:43.752,,-58,-60,-64;2026-03-08 15:24:43.951,-61,-66,-61,-74;2026-03-08 15:24:44.155,-60,-65,,;2026-03-08 15:24:44.156,,,-72,-65;2026-03-08 15:24:44.391,-70,-65,-61,-72;2026-03-08 15:24:44.598,-62,-58,-60,-66;2026-03-08 15:24:44.800,-61,-64,-61,-64;2026-03-08 15:24:45.006,-60,-58,-61,-65;2026-03-08 15:24:45.209,,-64,-73,-65;2026-03-08 15:24:45.427,-71,-65,-73,-65;2026-03-08 15:24:45.650,-59,-58,-60,-65;2026-03-08 15:24:45.861,-72,-65,-72,;2026-03-08 15:24:46.067,,,,-64;2026-03-08 15:24:46.271,-59,,,-66;2026-03-08 15:24:46.479,,-66,-71,;2026-03-08 15:24:46.688,-59,,,-72;2026-03-08 15:24:47.129,,,-61,;2026-03-08 15:24:47.346,-69,,,-63;2026-03-08 15:24:47.558,,,-61,;2026-03-08 15:24:47.777,-71,,-60,-63;2026-03-08 15:24:47.989,-71,,-61,-75",1
"2026-03-08 15:20:10.287,-65,-67,-69,-59;2026-03-08 15:20:10.288,-62,,-67,-66;2026-03-08 15:20:10.489,,-66,,;2026-03-08 15:20:10.692,-71,,-65,;2026-03-08 15:20:10.895,,-63,-69,-64;2026-03-08 15:20:11.097,-69,-63,-63,-60;2026-03-08 15:20:11.323,-71,,-68,;2026-03-08 15:20:11.324,,-65,,-59;2026-03-08 15:20:11.524,-68,-61,-64,-65;2026-03-08 15:20:11.723,-60,-58,-64,-74;2026-03-08 15:20:11.939,-56,-58,-65,-64;2026-03-08 15:20:12.142,-57,-62,-68,-70;2026-03-08 15:20:12.342,-60,-57,,-63;2026-03-08 15:20:12.573,,,-64,;2026-03-08 15:20:12.772,-65,,,;2026-03-08 15:20:12.975,,-58,-62,;2026-03-08 15:20:13.181,-66,,,-61;2026-03-08 15:20:13.579,-61,-57,-62,-71;2026-03-08 15:20:13.986,,-59,,-64;2026-03-08 15:20:14.189,-66,,-64,;2026-03-08 15:20:14.408,,-57,,-62;2026-03-08 15:20:14.614,,,-61,-61;2026-03-08 15:20:14.819,-64,,-64,-67;2026-03-08 15:20:15.025,-69,,-61,-62;2026-03-08 15:20:15.253,-64,,-68,-75;2026-03-08 15:20:15.454,-65,,-61,;2026-03-08 15:20:15.658,-70,,-78,-66;2026-03-08 15:20:15.920,,,-72,;2026-03-08 15:20:16.134,,-61,-70,-68;2026-03-08 15:20:16.558,-72,,,;2026-03-08 15:20:16.785,-71,-60,-63,-62;2026-03-08 15:20:17.000,,-58,-60,-68;2026-03-08 15:20:17.216,-69,,,;2026-03-08 15:20:17.627,,-57,-67,-68;2026-03-08 15:20:17.850,-66,,,;2026-03-08 15:20:18.066,,-62,-63,-67;2026-03-08 15:20:18.270,-66,,,;2026-03-08 15:20:18.474,,-62,-59,-65;2026-03-08 15:20:18.676,,-61,-63,-62;2026-03-08 15:20:18.905,-73,-58,-66,-67;2026-03-08 15:20:19.122,-64,-58,-59,-69;2026-03-08 15:20:19.331,-63,-58,-63,-68;2026-03-08 15:20:19.537,-66,,-68,-66;2026-03-08 15:20:19.741,-72,-65,-62,-63;2026-03-08 15:20:19.968,-67,-59,-68,-66;2026-03-08 15:20:20.177,-63,-60,-63,;2026-03-08 15:20:20.179,,-66,,-67",1
"2026-03-08 15:25:30.084,-57,-58,-53,-59;2026-03-08 15:25:30.085,-66,-57,-53,-56;2026-03-08 15:25:30.484,,-57,-54,;2026-03-08 15:25:30.686,,,,-69;2026-03-08 15:25:30.892,,-57,-56,;2026-03-08 15:25:31.100,,-75,-54,-58;2026-03-08 15:25:31.503,,-75,,-52;2026-03-08 15:25:31.504,-59,,-53,;2026-03-08 15:25:31.733,-63,,,;2026-03-08 15:25:31.943,-60,,,;2026-03-08 15:25:31.944,-66,-58,-52,-52;2026-03-08 15:25:32.164,-67,-57,,-52;2026-03-08 15:25:32.378,,-66,,-69;2026-03-08 15:25:32.582,-66,,,;2026-03-08 15:25:32.583,-64,-65,,-67;2026-03-08 15:25:32.787,-64,-77,,-57;2026-03-08 15:25:32.991,,-57,,;2026-03-08 15:25:33.224,-60,,,;2026-03-08 15:25:33.630,-60,-76,,-52;2026-03-08 15:25:33.834,,,-53,-51;2026-03-08 15:25:34.042,-60,-75,,;2026-03-08 15:25:34.262,,,-53,;2026-03-08 15:25:34.469,,,,-56;2026-03-08 15:25:34.699,-63,-65,,;2026-03-08 15:25:34.906,,,-53,-52;2026-03-08 15:25:35.117,-59,-57,,-52;2026-03-08 15:25:35.333,,-58,-53,;2026-03-08 15:25:35.538,-61,-70,-53,-52;2026-03-08 15:25:35.742,-66,-64,-52,-65;2026-03-08 15:25:35.943,-64,,,;2026-03-08 15:25:36.177,,-58,-51,-52;2026-03-08 15:25:36.601,-65,,-52,;2026-03-08 15:25:36.602,,-64,,;2026-03-08 15:25:36.807,,,,-52;2026-03-08 15:25:37.212,,-58,-51,;2026-03-08 15:25:37.416,-64,,,-58;2026-03-08 15:25:37.852,,-71,-54,;2026-03-08 15:25:38.261,-60,,,-57;2026-03-08 15:25:38.466,,-63,-53,;2026-03-08 15:25:38.870,-61,,,-57;2026-03-08 15:25:39.075,-57,,-54,-51;2026-03-08 15:25:39.294,,-56,,;2026-03-08 15:25:39.295,-61,-56,-54,-58;2026-03-08 15:25:39.516,-58,-78,-54,-52;2026-03-08 15:25:39.725,-63,-62,-71,-52;2026-03-08 15:25:39.931,-65,-62,-53,-58",1
"2026-03-08 15:19:34.821,-72,-63,-67,-70;2026-03-08 15:19:34.822,-70,-63,-54,-65;2026-03-08 15:19:34.823,-58,-68,-69,-56;2026-03-08 15:19:34.824,-61,-64,-72,-59;2026-03-08 15:19:35.233,-62,-70,,-57;2026-03-08 15:19:35.637,-60,-66,-63,-58;2026-03-08 15:19:35.857,-61,-68,-64,-59;2026-03-08 15:19:36.453,-59,-66,-66,-56;2026-03-08 15:19:36.656,,,-78,-60;2026-03-08 15:19:36.857,-68,-70,,;2026-03-08 15:19:37.070,,-66,,;2026-03-08 15:19:37.475,,,,-54;2026-03-08 15:19:37.476,-61,,-67,;2026-03-08 15:19:38.101,-62,,-64,-58;2026-03-08 15:19:38.500,-62,,,-56;2026-03-08 15:19:38.700,,,-63,;2026-03-08 15:19:38.902,-62,,-70,-59;2026-03-08 15:19:39.306,-62,,,-56;2026-03-08 15:19:39.510,,-67,-63,-60;2026-03-08 15:19:39.712,-61,,,;2026-03-08 15:19:39.925,,,-71,;2026-03-08 15:19:40.322,-62,-67,-69,-54;2026-03-08 15:19:40.520,-61,-68,-70,-56;2026-03-08 15:19:40.751,-60,,,;2026-03-08 15:19:40.956,,-66,-64,-54;2026-03-08 15:19:41.354,-61,-67,-71,-56;2026-03-08 15:19:42.159,,,-65,-52;2026-03-08 15:19:42.385,,-70,,;2026-03-08 15:19:42.784,-64,,-67,-54;2026-03-08 15:19:43.379,-62,,-67,-54;2026-03-08 15:19:43.788,-64,,-69,-60;2026-03-08 15:19:44.013,-62,,-69,-54;2026-03-08 15:19:44.225,-61,,-67,-53;2026-03-08 15:19:44.427,,,,-59;2026-03-08 15:19:44.632,-61,,-68,-53",1
"2026-03-08 15:23:45.276,-62,,-74,-64;2026-03-08 15:23:45.277,-72,-75,-60,-61;2026-03-08 15:23:45.484,,,,-53;2026-03-08 15:23:45.686,-60,-74,-64,;2026-03-08 15:23:45.895,,,,-53;2026-03-08 15:23:46.101,-73,-76,-65,;2026-03-08 15:23:46.299,-74,-77,-64,-60;2026-03-08 15:23:46.520,-60,-66,-60,-53;2026-03-08 15:23:46.773,-71,-65,-57,-53;2026-03-08 15:23:46.994,-64,-67,-61,-53;2026-03-08 15:23:47.222,-61,-65,-60,-60;2026-03-08 15:23:47.437,-69,-68,-61,-73;2026-03-08 15:23:47.643,-60,-67,-57,-60;2026-03-08 15:23:47.845,-62,-68,-57,;2026-03-08 15:23:48.054,,-68,-63,-53;2026-03-08 15:23:48.288,,-74,-61,-59;2026-03-08 15:23:48.491,,-65,-62,-54;2026-03-08 15:23:48.693,,-64,,-52;2026-03-08 15:23:48.694,,,-60,-54;2026-03-08 15:23:48.896,,-62,-60,-52;2026-03-08 15:23:49.318,,-73,-60,-54;2026-03-08 15:23:49.521,-65,,,;2026-03-08 15:23:49.946,-76,,,-53;2026-03-08 15:23:50.149,,-73,-60,;2026-03-08 15:23:50.351,-70,,,;2026-03-08 15:23:50.552,,,,-60;2026-03-08 15:23:50.756,,-61,-59,;2026-03-08 15:23:50.962,-65,,,-53;2026-03-08 15:23:51.191,-67,-67,-60,;2026-03-08 15:23:51.399,-75,-71,-61,;2026-03-08 15:23:51.613,-68,-67,,;2026-03-08 15:23:51.819,-68,,-62,;2026-03-08 15:23:52.020,-79,-73,-62,;2026-03-08 15:23:52.224,,-72,-58,;2026-03-08 15:23:52.462,-75,-68,-58,;2026-03-08 15:23:52.664,-66,,,;2026-03-08 15:23:52.874,,-76,-70,;2026-03-08 15:23:53.075,-69,,,;2026-03-08 15:23:53.481,-73,,-61,-59;2026-03-08 15:23:53.916,-64,,-59,-50;2026-03-08 15:23:54.394,-65,,-61,;2026-03-08 15:23:54.614,-65,-69,-57,;2026-03-08 15:23:54.827,-66,-70,-61,;2026-03-08 15:23:55.033,-71,-67,-58,",1
"2026-03-08 15:13:04.841,-64,-73,-64,-53;2026-03-08 15:13:04.842,-70,-64,-63,-50;2026-03-08 15:13:05.042,-70,-65,-72,-50;2026-03-08 15:13:05.249,,-63,-59,-48;2026-03-08 15:13:05.458,-73,-73,-63,-57;2026-03-08 15:13:05.660,-71,-65,-70,-49;2026-03-08 15:13:05.865,-70,-62,-59,-49;2026-03-08 15:13:06.266,,-63,-62,-49;2026-03-08 15:13:06.476,-70,,,;2026-03-08 15:13:07.070,-75,-65,-69,-49;2026-03-08 15:13:07.481,,-71,,;2026-03-08 15:13:07.679,-73,,-70,-49;2026-03-08 15:13:08.084,,-65,,;2026-03-08 15:13:08.282,-70,,,-48;2026-03-08 15:13:08.686,,,-63,;2026-03-08 15:13:09.081,,-65,-68,-48;2026-03-08 15:13:09.506,-74,,,;2026-03-08 15:13:09.706,,,-60,;2026-03-08 15:13:09.707,-71,-63,-67,-59;2026-03-08 15:13:09.907,-71,-66,-70,-49;2026-03-08 15:13:10.120,,-63,,;2026-03-08 15:13:10.512,-73,-66,,;2026-03-08 15:13:10.713,-73,-63,,;2026-03-08 15:13:10.912,,-74,,;2026-03-08 15:13:11.112,-70,-63,,;2026-03-08 15:13:11.313,,-64,,;2026-03-08 15:13:11.530,,,-71,-50;2026-03-08 15:13:11.531,,,-71,-48;2026-03-08 15:13:11.731,,-63,-59,-48;2026-03-08 15:13:12.133,,-74,,;2026-03-08 15:13:12.346,,,-70,-49;2026-03-08 15:13:12.565,,-72,,;2026-03-08 15:13:12.763,,,-71,-49;2026-03-08 15:13:14.162,-72,,,;2026-03-08 15:13:14.163,-74,,,;2026-03-08 15:13:14.379,,,,-49;2026-03-08 15:13:14.583,,,-62,;2026-03-08 15:13:14.584,-70,,-72,",0
"2026-03-08 15:15:41.888,-73,-67,-64,-63;2026-03-08 15:15:41.889,-66,-72,-60,-59;2026-03-08 15:15:41.890,,-71,-66,-54;2026-03-08 15:15:42.686,,-65,-68,;2026-03-08 15:15:42.687,,,,-67;2026-03-08 15:15:43.288,-71,-66,-59,-52;2026-03-08 15:15:43.710,-70,-66,-64,-52;2026-03-08 15:15:44.107,,,-65,;2026-03-08 15:15:44.312,,-63,-58,-51;2026-03-08 15:15:44.516,-69,-66,-58,-50;2026-03-08 15:15:44.735,-67,-68,-66,-51;2026-03-08 15:15:44.959,-68,-71,-66,-52;2026-03-08 15:15:45.160,,-68,-64,-52;2026-03-08 15:15:45.364,-70,-75,-66,-52;2026-03-08 15:15:45.568,-70,-71,-58,-50;2026-03-08 15:15:45.765,-71,,,;2026-03-08 15:15:45.766,,-66,-65,-49;2026-03-08 15:15:45.990,,-66,,-49;2026-03-08 15:15:46.403,-74,-74,-65,-66;2026-03-08 15:15:46.829,-71,-67,-59,-51;2026-03-08 15:15:47.259,-70,-68,-59,-52;2026-03-08 15:15:47.879,-71,-67,-58,-49;2026-03-08 15:15:48.082,-73,-66,-64,-50;2026-03-08 15:15:48.284,,-75,-64,-67;2026-03-08 15:15:48.485,,,,-50;2026-03-08 15:15:48.711,,-72,,;2026-03-08 15:15:49.116,,-74,,;2026-03-08 15:15:49.324,,-72,,-52;2026-03-08 15:15:49.528,-67,,,-54;2026-03-08 15:15:49.732,,-72,,;2026-03-08 15:15:49.971,,,-65,;2026-03-08 15:15:49.972,-68,,,;2026-03-08 15:15:50.173,,-65,,-51;2026-03-08 15:15:50.575,,,-59,;2026-03-08 15:15:50.776,-71,-71,-59,;2026-03-08 15:15:51.001,,-65,-60,-51;2026-03-08 15:15:51.205,-72,,,;2026-03-08 15:15:51.408,-67,,,-49;2026-03-08 15:15:51.610,-76,,,",0
"2026-03-08 15:10:35.183,-67,-72,-68,-49;2026-03-08 15:10:35.382,,,-69,;2026-03-08 15:10:35.783,,,,-55;2026-03-08 15:10:35.983,,,-69,-50;2026-03-08 15:10:36.386,,-62,-80,-49;2026-03-08 15:10:36.588,-67,,,-49;2026-03-08 15:10:36.799,-60,,-68,-54;2026-03-08 15:10:37.210,-67,,-70,;2026-03-08 15:10:37.613,,-73,,;2026-03-08 15:10:38.015,,,,-49;2026-03-08 15:10:38.431,,,-70,;2026-03-08 15:10:38.629,,,,-46;2026-03-08 15:10:39.026,,,-70,;2026-03-08 15:10:39.225,,,,-46;2026-03-08 15:10:39.435,,-61,,;2026-03-08 15:10:39.436,,-72,-68,-49;2026-03-08 15:10:39.644,-60,,-68,-72;2026-03-08 15:10:39.843,-60,,,;2026-03-08 15:10:39.844,-67,-74,-70,-46;2026-03-08 15:10:40.045,-60,-65,-69,-49;2026-03-08 15:10:40.265,-58,-67,-68,-54;2026-03-08 15:10:40.465,-67,-74,-70,-46;2026-03-08 15:10:40.663,-58,,-69,;2026-03-08 15:10:40.665,,-66,,-46;2026-03-08 15:10:41.062,,,-71,;2026-03-08 15:10:41.267,-61,-68,,-46;2026-03-08 15:10:41.674,-60,-62,-72,-49;2026-03-08 15:10:42.076,-68,-63,-71,-47;2026-03-08 15:10:42.878,-60,-72,-72,-56;2026-03-08 15:10:43.471,-58,-61,,-50;2026-03-08 15:10:43.893,-60,-61,-68,-49;2026-03-08 15:10:44.101,-60,-62,-70,-49;2026-03-08 15:10:44.302,-59,-73,-79,;2026-03-08 15:10:44.503,-69,-62,-67,-49;2026-03-08 15:10:44.707,-61,-70,-72,-56;2026-03-08 15:10:44.919,-59,-69,-66,-49",0
"2026-03-08 15:19:52.128,-54,-64,-64,-62;2026-03-08 15:19:52.525,,,,-57;2026-03-08 15:19:52.727,,-72,-66,-60;2026-03-08 15:19:52.929,-57,,,;2026-03-08 15:19:53.330,-57,-65,-65,-56;2026-03-08 15:19:53.530,-54,-70,-64,-60;2026-03-08 15:19:53.732,-62,-71,-61,-60;2026-03-08 15:19:53.957,-57,-73,-65,-59;2026-03-08 15:19:54.162,-62,-68,-58,-56;2026-03-08 15:19:54.363,-57,-70,-67,;2026-03-08 15:19:54.579,-63,-69,-65,-56;2026-03-08 15:19:54.782,,,-64,-59;2026-03-08 15:19:54.980,-54,-67,,;2026-03-08 15:19:55.207,-54,,-58,-56;2026-03-08 15:19:55.406,,-69,-58,-58;2026-03-08 15:19:55.619,-57,,,;2026-03-08 15:19:55.822,,,-61,-59;2026-03-08 15:19:56.221,,-62,,;2026-03-08 15:19:56.222,-54,,,;2026-03-08 15:19:56.450,,,-59,-60;2026-03-08 15:19:56.669,-54,-73,,;2026-03-08 15:19:56.877,,,,-56;2026-03-08 15:19:57.078,,,-63,;2026-03-08 15:19:57.283,-63,-71,,;2026-03-08 15:19:57.889,-64,,-69,-58;2026-03-08 15:19:58.093,,-71,,;2026-03-08 15:19:58.293,-57,,-59,-55;2026-03-08 15:19:58.498,-58,-65,-65,-60;2026-03-08 15:19:58.701,,-70,-60,;2026-03-08 15:19:58.929,,,,-56;2026-03-08 15:19:58.930,-63,-75,-71,;2026-03-08 15:19:59.155,-58,-68,-65,-60;2026-03-08 15:19:59.364,-57,-70,-74,-58;2026-03-08 15:19:59.569,-57,-66,-64,-55;2026-03-08 15:19:59.774,-54,-69,-61,-59;2026-03-08 15:20:00.002,,-69,,;2026-03-08 15:20:00.214,-57,,,-54;2026-03-08 15:20:00.417,,,-67,;2026-03-08 15:20:00.826,-57,,,-70;2026-03-08 15:20:01.027,,,-62,;2026-03-08 15:20:01.253,,,,-59;2026-03-08 15:20:01.470,-57,,-77,;2026-03-08 15:20:01.877,,,,-59",1
