timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:42:45.631,-55,-61,-65,-52,03-Far-Facing-In,EXP_001
2026-03-08 12:42:45.632,-55,-63,-62,-52,03-Far-Facing-In,EXP_001
2026-03-08 12:42:45.827,,,-69,-49,03-Far-Facing-In,EXP_001
2026-03-08 12:42:46.219,-53,-62,-65,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:46.409,,,,-53,03-Far-Facing-In,EXP_001
2026-03-08 12:42:46.602,-53,-68,-70,-53,03-Far-Facing-In,EXP_001
2026-03-08 12:42:46.983,-55,,,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:47.170,,-62,-60,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:42:47.367,-53,,,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:47.560,,-68,,-49,03-Far-Facing-In,EXP_001
2026-03-08 12:42:47.763,,,-71,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:47.958,-55,-64,-65,-48,03-Far-Facing-In,EXP_001
2026-03-08 12:42:48.340,-72,-66,-66,-52,03-Far-Facing-In,EXP_001
2026-03-08 12:42:48.749,-55,-65,-68,-52,03-Far-Facing-In,EXP_001
2026-03-08 12:42:48.946,-71,-60,-59,-47,03-Far-Facing-In,EXP_001
2026-03-08 12:42:49.141,-73,-61,-59,-48,03-Far-Facing-In,EXP_001
2026-03-08 12:42:49.332,-51,-63,-74,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:42:49.522,-55,-67,-70,-53,03-Far-Facing-In,EXP_001
2026-03-08 12:42:49.718,-51,-64,-65,-53,03-Far-Facing-In,EXP_001
2026-03-08 12:42:49.910,-74,-65,-64,-47,03-Far-Facing-In,EXP_001
2026-03-08 12:42:50.116,-73,-60,-59,-47,03-Far-Facing-In,EXP_001
2026-03-08 12:42:56.013,-63,-53,,-51,03-Far-Facing-In,EXP_001
2026-03-08 12:42:56.203,,,-60,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:56.392,-64,-59,,-51,03-Far-Facing-In,EXP_001
2026-03-08 12:42:56.584,-61,-59,-54,-49,03-Far-Facing-In,EXP_001
2026-03-08 12:42:56.967,-65,-52,-53,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:57.169,-61,-59,,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:57.362,-64,-52,-53,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:57.558,-62,-56,-61,-55,03-Far-Facing-In,EXP_001
2026-03-08 12:42:57.755,-64,-56,-71,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:57.963,-61,-60,-55,-49,03-Far-Facing-In,EXP_001
2026-03-08 12:42:58.159,-61,-54,-55,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:58.356,-64,-61,-60,-51,03-Far-Facing-In,EXP_001
2026-03-08 12:42:58.551,-61,-54,-54,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:58.745,,,-55,,03-Far-Facing-In,EXP_001
2026-03-08 12:42:58.747,-63,-55,,-55,03-Far-Facing-In,EXP_001
2026-03-08 12:42:59.130,-64,-55,-60,-55,03-Far-Facing-In,EXP_001
2026-03-08 12:42:59.512,-61,-55,-60,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:42:59.901,-63,-60,-54,-55,03-Far-Facing-In,EXP_001
2026-03-08 12:43:00.291,,,-54,-50,03-Far-Facing-In,EXP_001
2026-03-08 12:43:00.501,-63,-59,,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:00.705,-63,-53,-54,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:08.434,-62,-65,-72,-44,03-Far-Facing-In,EXP_001
2026-03-08 12:43:09.004,-68,-67,-59,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:09.199,-71,,,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:09.395,,-64,-68,-42,03-Far-Facing-In,EXP_001
2026-03-08 12:43:09.591,-72,,,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:09.785,,-69,-58,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:10.007,-71,-62,-59,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:10.202,-67,-68,-60,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:10.407,-73,-62,-67,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:10.604,-68,-61,-60,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:10.995,-68,-72,-58,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:11.187,-72,-73,-65,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:11.383,-60,-64,,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:11.582,-70,,,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:11.773,,-64,,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:11.968,-69,,,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:12.164,-72,,,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:12.367,-74,,,-46,03-Far-Facing-In,EXP_001
2026-03-08 12:43:12.784,-69,,,-44,03-Far-Facing-In,EXP_001
2026-03-08 12:43:12.982,,,-58,,03-Far-Facing-In,EXP_001
2026-03-08 12:43:13.178,-70,,,-45,03-Far-Facing-In,EXP_001
2026-03-08 12:43:17.670,,-67,-62,-53,03-Far-Facing-In,EXP_001
2026-03-08 12:43:17.860,-71,,,,03-Far-Facing-In,EXP_001
