timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:46:45.213,-59,-56,-59,-58,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:45.214,-63,-55,-61,-73,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:45.215,-64,-55,-66,-65,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:45.413,-72,-56,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:45.632,,,-57,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:45.844,-73,-58,,-63,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:46.047,,,-61,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:46.247,-64,-55,-61,-70,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:46.635,-69,,-64,-64,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:46.876,,-56,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:47.116,,-58,-58,-74,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:47.326,-64,,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:47.531,,-57,-59,-67,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:47.931,-71,,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:48.129,,-58,-58,-70,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:48.351,-71,-56,-60,-72,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:48.550,-66,-56,-58,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:48.748,-70,-58,-58,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:48.966,-69,-58,-59,-69,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:49.192,-66,-59,-60,-70,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:49.447,-71,-57,,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:49.651,-66,-58,-58,-67,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:49.857,-70,,,-67,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:50.055,-70,-58,-59,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:54.934,-74,-76,-74,-63,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:55.208,-77,,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:55.433,-77,-67,-62,-64,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:55.642,,-63,-76,-67,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:56.052,-69,,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:56.255,,-75,-72,-67,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:56.490,,-73,-72,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:56.687,-70,-78,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:56.888,,,-71,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.099,-70,-75,-74,-62,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.344,,,-61,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.345,-69,-61,,-65,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.558,-69,-79,-61,-61,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.790,-69,,,-66,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:57.992,,,-61,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:58.195,-70,,,-63,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:58.414,,,-72,,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:58.808,-69,,-70,-66,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:59.223,-75,,-69,-64,03-Near-Facing-Out,EXP_001
2026-03-08 12:46:59.665,-69,,-70,-64,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.038,-66,-66,,,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.039,-72,-63,-69,-63,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.275,-71,-65,-68,-68,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.476,-64,-69,-78,-61,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.682,-61,-80,-70,-71,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:04.882,,-69,,-62,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:05.312,-69,-66,-76,-64,03-Near-Facing-Out,EXP_001
2026-03-08 12:47:05.566,-62,,-73,-68,03-Near-Facing-Out,EXP_001
