timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:38:27.172,-65,-72,,-36,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:27.371,,,-73,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:27.574,,,-55,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:27.789,,,,-36,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:27.994,-73,-64,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:28.195,,,-54,-37,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:28.403,-74,-67,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:28.604,,-64,-65,-41,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:28.802,-75,-65,-65,-36,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:28.995,-65,-66,-73,-36,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:29.196,-65,-66,-65,-41,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:29.388,-65,-65,-66,-37,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:29.581,-77,,-73,-37,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:29.790,,,-54,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:29.985,,-67,-65,-37,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.176,-74,,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.389,,-65,-72,-36,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.580,-64,,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.773,,,-54,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.774,,-63,,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:30.971,-76,,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:31.162,,-66,,-41,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:31.355,-77,,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:31.572,,-65,-74,-69,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
2026-03-08 12:38:31.960,,-65,-55,-37,01-Near-Facing-In,EXP_001,01-Near-Facing-In-W
