timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:38:50.175,-62,-57,-57,-42,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:50.385,-59,,,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:50.580,,-60,-56,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:50.778,-59,,,-42,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:50.977,-59,-60,-56,-42,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:51.372,-59,-56,-67,-41,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:51.759,-62,-70,-56,-40,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:52.144,-70,-56,-67,-41,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:52.715,-69,-61,-65,-40,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:53.102,-59,-55,-64,-41,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:53.301,-70,-60,-55,-40,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:53.505,-68,-60,-56,-41,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:53.698,,,,-42,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:53.886,-60,-57,-65,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:54.079,-62,,,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:54.273,-68,-56,-67,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:54.467,-60,-55,-65,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:54.667,-68,-60,-55,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
2026-03-08 12:38:54.862,-64,-56,-55,,02-Near-Facing-In,EXP_001,02-Near-Facing-In-E
