timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:38:40.410,-72,-63,-75,-47,02-Near-Facing-In,EXP_001
2026-03-08 12:38:40.411,-68,-66,-72,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:40.606,-65,-64,-68,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:40.798,-70,-65,-74,-49,02-Near-Facing-In,EXP_001
2026-03-08 12:38:40.986,-70,-65,-75,-49,02-Near-Facing-In,EXP_001
2026-03-08 12:38:41.179,,-65,,,02-Near-Facing-In,EXP_001
2026-03-08 12:38:41.376,-70,-64,-68,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:41.577,-70,-64,-75,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:41.772,-71,,-80,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:41.965,-70,-64,-75,-45,02-Near-Facing-In,EXP_001
2026-03-08 12:38:42.398,,,-74,,02-Near-Facing-In,EXP_001
2026-03-08 12:38:42.399,-68,-65,,-49,02-Near-Facing-In,EXP_001
2026-03-08 12:38:42.787,-69,-65,-74,,02-Near-Facing-In,EXP_001
2026-03-08 12:38:42.788,,,,-50,02-Near-Facing-In,EXP_001
2026-03-08 12:38:43.177,-69,-64,-68,-47,02-Near-Facing-In,EXP_001
2026-03-08 12:38:43.569,-69,-65,-74,-50,02-Near-Facing-In,EXP_001
2026-03-08 12:38:43.974,-73,-65,-79,-46,02-Near-Facing-In,EXP_001
2026-03-08 12:38:44.588,-72,-64,-74,-67,02-Near-Facing-In,EXP_001
2026-03-08 12:38:44.992,-68,-65,-75,-50,02-Near-Facing-In,EXP_001
2026-03-08 12:38:50.175,-62,-57,-57,-42,02-Near-Facing-In,EXP_001
2026-03-08 12:38:50.385,-59,,,,02-Near-Facing-In,EXP_001
2026-03-08 12:38:50.580,,-60,-56,,02-Near-Facing-In,EXP_001
2026-03-08 12:38:50.778,-59,,,-42,02-Near-Facing-In,EXP_001
2026-03-08 12:38:50.977,-59,-60,-56,-42,02-Near-Facing-In,EXP_001
2026-03-08 12:38:51.372,-59,-56,-67,-41,02-Near-Facing-In,EXP_001
