timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:42:23.027,,-65,,-42,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:23.221,-63,,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:23.424,,,-56,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:23.804,-74,,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:23.998,,,-59,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:24.192,-60,,,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:24.399,,,-57,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:24.603,,,-64,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:24.801,-62,-64,,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:25.185,-70,-60,-57,-44,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:25.387,-68,,,-44,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:25.582,-71,,-63,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:25.777,,,-55,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:25.971,,,-56,-42,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:26.175,,,-58,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:26.368,,,-58,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:26.576,,,-56,-45,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:26.824,-67,,-56,-45,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:27.055,,-64,-62,-42,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:27.258,-72,-64,-56,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:27.666,-68,,,-43,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
2026-03-08 12:42:27.668,,-64,-58,,02-Far-Facing-In,EXP_001,02-Far-Facing-In-S
