timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:44:09.014,-64,,-68,-66,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:09.209,,,,-66,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:09.210,-60,,-67,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:09.403,-61,-65,-75,-68,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:09.610,-66,,,-69,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:09.998,-60,-70,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:10.197,,,-71,-64,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:10.429,-70,-70,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:10.632,,,-72,-63,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:10.829,-72,-71,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:11.228,,-66,-69,-68,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:11.422,-66,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:11.617,,-67,-72,-64,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:11.810,-60,,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:12.025,,-70,,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:12.222,-69,-67,-72,-71,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:12.414,-66,-66,-75,-64,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:12.612,-66,-66,-72,-63,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:12.836,-66,-71,-76,-72,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:13.040,-66,-71,-76,-73,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:13.238,-60,-67,-70,-71,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:13.449,,-68,-70,,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
2026-03-08 12:44:13.650,-66,-72,-75,-64,01-Near-Facing-Out,EXP_001,01-Near-Facing-Out-S
