timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:46:45.213,-59,-56,-59,-58,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:45.214,-63,-55,-61,-73,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:45.215,-64,-55,-66,-65,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:45.413,-72,-56,,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:45.632,,,-57,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:45.844,-73,-58,,-63,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:46.047,,,-61,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:46.247,-64,-55,-61,-70,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:46.635,-69,,-64,-64,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:46.876,,-56,,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:47.116,,-58,-58,-74,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:47.326,-64,,,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:47.531,,-57,-59,-67,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:47.931,-71,,,,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:48.129,,-58,-58,-70,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:48.351,-71,-56,-60,-72,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:48.550,-66,-56,-58,-68,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:48.748,-70,-58,-58,-68,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:48.966,-69,-58,-59,-69,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:49.192,-66,-59,-60,-70,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:49.447,-71,-57,,-68,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:49.651,-66,-58,-58,-67,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:49.857,-70,,,-67,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
2026-03-08 12:46:50.055,-70,-58,-59,-68,03-Near-Facing-Out,EXP_001,03-Near-Facing-Out-N
