timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:47:52.228,-70,-73,-73,-60,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:52.458,-70,,,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:52.685,,-75,-71,-63,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:52.893,-66,,,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.100,-77,-73,-71,-58,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.308,,,-66,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.512,-66,-74,-65,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.513,,,,-62,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.732,-66,-67,-73,-63,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:53.934,-66,-68,-73,-63,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:54.135,,,-65,-63,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:54.341,-73,-67,,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:54.567,-67,,-67,-61,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:54.787,,-65,,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:55.004,-68,,-67,-60,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:55.208,,-70,,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:55.414,,,-67,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:55.612,-67,-68,,-64,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.059,-69,-66,-73,-63,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.259,,-69,-66,-61,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.465,-69,-72,-68,-61,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.466,-67,,-72,,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.688,-69,,-71,-60,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
2026-03-08 12:47:56.919,-73,-69,-68,-61,01-Far-Facing-Out,EXP_001,01-Far-Facing-Out-S
