timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 12:47:29.763,-59,-72,-64,-61,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:29.765,-70,-69,-61,-65,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:29.766,-66,-74,-60,-76,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:29.998,-70,-66,-60,-71,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:30.210,-68,-65,-60,-64,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:30.426,-62,-57,-69,-72,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:30.629,-60,-67,-71,-69,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:30.825,,-56,-59,-67,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:31.054,-60,-56,-71,-65,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:31.250,-67,-64,-59,-67,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:31.461,-66,-64,-63,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:31.660,-66,-67,-60,-66,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:32.142,-61,-57,-73,-66,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:32.553,,,-61,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:32.751,-66,-56,,-68,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:32.953,,,-61,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:33.153,-65,-63,-60,-62,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:33.550,,,,-65,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:33.747,-60,-57,-68,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:34.188,-68,-60,-58,-67,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:34.412,-70,,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:34.413,,-60,-58,-70,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:34.614,,,-58,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:41.060,,-72,-64,-62,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:41.458,,-68,,-67,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:41.657,,,-64,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:41.857,,-67,,-70,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:42.083,-69,-67,-67,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:42.311,,,-70,-64,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:42.525,-78,-73,-68,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:42.742,-68,-68,-67,-64,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:42.982,-78,-78,-64,-64,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.179,-69,-67,-63,-70,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.376,,-76,-62,-64,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.573,-77,-71,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.769,,,-61,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.770,,-67,,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:43.979,-74,-66,-60,-62,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:44.470,-68,-66,-61,-70,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:44.691,-72,,,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:44.931,,-66,-60,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:45.154,-68,,,-62,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:45.362,,-79,-67,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:52.228,-70,-73,-73,-60,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:52.458,-70,,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:52.685,,-75,-71,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:52.893,-66,,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.100,-77,-73,-71,-58,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.308,,,-66,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.512,-66,-74,-65,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.513,,,,-62,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.732,-66,-67,-73,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:53.934,-66,-68,-73,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:54.135,,,-65,-63,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:54.341,-73,-67,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:54.567,-67,,-67,-61,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:54.787,,-65,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:55.004,-68,,-67,-60,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:55.208,,-70,,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:55.414,,,-67,,01-Far-Facing-Out,EXP_001
2026-03-08 12:47:55.612,-67,-68,,-64,01-Far-Facing-Out,EXP_001
