timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:48:46.933,-65,-61,-64,-77,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:47.341,-59,-57,-60,-64,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:47.735,-66,-65,-61,-62,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:47.969,,-62,-66,-67,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:48.184,-64,-66,-66,-68,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:48.427,-63,-57,-59,-64,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:48.653,-67,-57,-69,-70,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:48.884,-60,-57,-59,-70,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.095,-58,-67,-64,-63,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.306,-58,-69,-70,-70,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.307,-58,,-62,,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.509,-58,-68,-69,-69,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.721,-57,-57,-59,-69,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:49.924,,-58,-58,,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:50.123,,,-58,,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:50.124,-58,-57,,-69,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:50.543,-56,-57,-69,-69,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:51.000,-58,-67,,-68,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:51.001,,,-62,,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
2026-03-08 12:48:51.411,-57,-61,-69,-67,02-Far-Facing-Out,EXP_001,02-Far-Facing-Out-W
