timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:49:02.032,-64,-64,-67,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:02.033,-78,-70,-57,-59,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:02.236,,,-57,,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:02.449,-78,-59,,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:02.891,-70,-60,-66,-59,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:03.103,,-63,-65,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:03.510,-69,,,,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:03.712,,-58,-56,,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:03.932,-76,-63,-64,-64,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.153,,,-63,,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.154,-74,-64,-65,-59,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.372,-75,-60,-64,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.573,-73,-62,-64,-59,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.574,-68,-62,-57,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:04.804,-69,-64,-63,-68,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:05.034,,-61,,,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:05.246,-69,,-57,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:05.452,,,-63,-59,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:05.692,-73,,,-60,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:05.893,-73,,,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:06.089,-69,,,-65,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:06.304,-73,-59,,-63,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:06.700,-72,-62,,-63,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
2026-03-08 12:49:06.929,-71,-59,-63,-66,03-Far-Facing-Out,EXP_001,03-Far-Facing-Out-N
