timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 13:10:58.819,-70,-67,-46,-61,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.820,-66,-70,-72,-60,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.821,-71,-69,-41,-61,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.822,-72,-64,-47,-65,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.823,-58,-67,-65,-52,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.824,-67,-66,-67,-46,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:58.825,-59,-62,-71,-33,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:59.036,-69,-70,-70,-37,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:59.247,-59,-63,-65,-36,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:59.460,-65,-67,-67,-39,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:59.673,-62,-63,-71,-38,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:10:59.874,-67,-66,,-40,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:00.083,-68,-65,-72,-39,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:00.387,-58,-60,-67,-42,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:00.609,-61,-72,-71,-42,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:00.816,,-66,,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:01.027,-73,,-69,-47,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:01.225,,-72,,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:01.648,-60,-64,-69,-45,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:02.161,-66,-66,-69,-59,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:02.641,-61,-72,-62,-53,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.066,-76,,-66,-59,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.269,-72,-64,-56,-57,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.466,-68,,-54,-62,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.666,,,-55,-61,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.956,-64,,,-67,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:03.957,-66,,-52,-62,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:04.179,-68,,-48,-64,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:04.391,-64,,-46,-60,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:04.596,-59,,-44,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:04.827,-73,,,-63,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:05.234,-58,-60,-42,-67,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:05.235,,-72,,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:05.682,-73,,-39,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:05.925,,-63,,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:06.137,-72,,-38,-67,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:06.342,,-63,,-64,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:06.543,-72,,-41,,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:06.762,-71,-59,-45,-65,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:06.962,-73,-57,-40,-65,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:07.200,-65,-59,-43,-66,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:07.474,-73,-60,-40,-64,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:07.723,-65,-72,-38,-65,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:07.942,-65,-64,-39,-65,08_R4-R3-R4-R3,EXP_003
2026-03-08 13:11:08.145,,-68,,,08_R4-R3-R4-R3,EXP_003
