timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 15:12:23.802,-70,-71,-78,-56,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:23.803,-60,-75,-64,-61,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.203,-67,,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.204,,,-69,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.405,-59,-71,-69,-59,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.604,,-74,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.605,-69,,-70,-59,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:24.813,-60,-72,-72,-60,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:25.013,-59,,-67,-56,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:25.210,-60,,-70,-61,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:25.422,-61,,-70,-57,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:25.624,-61,,,-64,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:25.826,-61,,-70,-63,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:26.027,-64,,-66,-64,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:26.230,-71,,-73,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:26.429,,,,-56,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:26.631,,,-64,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:26.837,,,,-55,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:27.037,-66,,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:27.236,,,-70,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:27.449,,-70,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:27.648,-67,,,-62,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.070,-58,-82,-72,-60,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.272,-69,-70,-73,-56,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.472,,,,-61,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.474,,,,-60,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.674,-68,-69,-64,-61,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:28.905,-60,,-69,-62,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:29.109,-58,-82,-68,-61,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:29.313,-70,-69,-65,-59,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:29.533,,-71,-69,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:30.136,,-74,-78,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:30.734,,,-71,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:30.937,-58,,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:30.938,-62,,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:31.140,,,-69,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:31.554,,,,-52,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:31.957,,,,-53,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:32.356,,-62,-69,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:32.574,-64,,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:32.990,-66,-71,-72,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:33.188,,,-74,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:33.189,-57,-73,,,11_in_Room4_Cornor3,EXP_004
2026-03-08 15:12:33.585,-57,-72,-73,,11_in_Room4_Cornor3,EXP_004
