timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id
2026-03-08 15:21:42.522,-63,-68,-68,-50,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:42.523,-66,-71,-69,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:42.726,-61,-71,-66,-50,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:42.931,-63,-64,-62,-51,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:43.350,-59,-71,-65,-49,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:43.952,,,-65,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:43.953,-63,-65,,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:44.341,-60,-63,-64,-50,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:44.915,-71,-66,-68,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:45.486,-67,,-65,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:45.915,-64,,,-64,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.121,-69,,-67,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.334,-62,,-69,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.335,,-65,,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.550,-64,,-65,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.767,-59,-65,-69,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:46.985,-62,-65,-76,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:47.222,,-68,-66,-51,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:47.451,-59,-65,-73,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:47.658,-61,-65,-73,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:47.874,,,,-51,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:48.471,,-62,-64,-64,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:48.898,,-60,-65,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:49.502,,-62,-63,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:49.717,,,-62,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:49.925,-64,-66,,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:50.132,,,-64,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:50.362,-63,-63,,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:50.764,-62,-65,-70,,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:50.970,-61,-66,-72,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:51.190,-63,-66,-64,-50,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:51.399,-60,,-65,-52,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:51.637,-62,-65,-66,-50,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:51.845,-60,,-65,-65,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:52.047,-64,-65,-67,-51,08_Out_Room4_Cornor3,EXP_004
2026-03-08 15:21:52.252,-59,-64,-70,-51,08_Out_Room4_Cornor3,EXP_004
